Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,degree_centrality,bottleneck_score,bottleneck_rank
AALST,231,179.915,1.56,47,6.0,1.0,2.6,0.87,0.0,AALST,6444,1768,1592,6444,2318.74,0.11467444120505345,-0.9583406507427279,353.0
AALST-KERREBROEK,43,28.98,0.67,9,0.0,0.0,0.0,0.0,0.0,AALST-KERREBROEK,1000,300,250,1000,28.98,0.001943634596695821,-3.68415997022593,601.0
AALTER,331,153.725,0.93,68,12.0,3.0,3.63,1.81,2.0,AALTER,2288,1055,855,2288,703.45,0.17978620019436345,0.20480691873700257,203.0
AARSCHOT,336,352.99,2.1,69,24.0,1.0,7.14,0.6,3.0,AARSCHOT,6270,1954,1395,6270,4426.49,0.11564625850340136,0.9860636771431529,120.0
AARSELE,89,183.66,4.13,21,9.0,2.0,10.11,4.49,0.0,AARSELE,1000,300,250,1000,367.32,0.04470359572400389,-0.30613130076331097,264.0
ACREN,79,127.71,3.23,16,10.0,0.0,12.66,1.27,5.0,ACREN,226,43,50,226,57.72,0.023323615160349854,0.01233698355891398,226.0
AISEAU,223,335.865,3.01,52,18.0,4.0,8.07,3.59,6.0,AISEAU,100,15,17,100,67.17,0.14091350826044705,0.821046651759709,137.0
ALKEN,118,151.61,2.57,24,10.0,0.0,8.47,0.0,7.0,ALKEN,647,254,310,647,196.18,0.05053449951409135,-0.602769699312156,299.0
AMAY,192,205.175,2.14,39,13.0,1.0,6.77,1.04,8.0,AMAY,262,68,50,262,107.51,0.12050534499514091,-0.03201411653070274,235.0
AMPSIN,192,230.11,2.4,39,14.0,1.0,7.29,1.04,9.0,AMPSIN,134,30,20,134,61.67,0.1185617103984451,0.12357669596989462,213.0
ANDENNE,192,247.65,2.58,39,14.0,2.0,7.29,2.08,10.0,ANDENNE,1746,499,427,1746,864.79,0.11564625850340136,0.14608256407442777,208.0
ANDERLECHT,440,487.785,2.22,96,26.0,6.0,5.91,2.5,0.0,ANDERLECHT,1000,300,250,1000,975.57,0.24198250728862974,2.3439751920577883,60.0
