Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,degree_centrality,bottleneck_score,bottleneck_rank
AALST,271,194.41,1.43,55,6.0,1.0,2.21,0.74,0.0,AALST,6444,1768,1592,6444,2505.56,0.1508452535760728,0.7686849011650658,113.0
AALST-KERREBROEK,33,38.58,1.17,10,0.0,0.0,0.0,0.0,0.0,AALST-KERREBROEK,49,14,12,49,1.89,0.0,-2.917904647504252,555.0
AALTER,233,146.465,1.26,47,6.0,1.0,2.58,0.86,2.0,AALTER,2288,1055,855,2288,670.22,0.12548764629388817,0.19281077001470348,160.0
AARSCHOT,390,380.59,1.95,80,24.0,1.0,6.15,0.51,3.0,AARSCHOT,6270,1954,1395,6270,4772.6,0.15214564369310793,2.6043648014986216,39.0
AARSELE,31,112.47,3.63,8,8.0,1.0,25.81,3.23,0.0,AARSELE,41,12,10,41,4.61,0.007152145643693108,1.887827399361477,58.0
ACREN,93,152.165,3.27,19,12.0,0.0,12.9,1.08,5.0,ACREN,226,43,50,226,68.78,0.033810143042912875,0.3075503725052543,154.0
AISEAU,122,136.26,2.23,28,8.0,0.0,6.56,0.82,6.0,AISEAU,100,15,17,100,27.25,0.06892067620286085,-0.32527496608553297,230.0
ALKEN,133,163.375,2.46,27,10.0,0.0,7.52,0.0,7.0,ALKEN,647,254,310,647,211.41,0.06176853055916775,-0.10591753584201581,201.0
AMAY,90,45.0,1.0,18,2.0,0.0,2.22,0.0,8.0,AMAY,262,68,50,262,23.58,0.044863459037711315,-1.7344674337020887,437.0
AMPSIN,90,57.415,1.28,18,2.0,0.0,2.22,0.0,9.0,AMPSIN,134,30,20,134,15.39,0.05071521456436931,-1.6416581001858028,417.0
ANDENNE,227,267.61,2.36,46,15.0,2.0,6.61,1.76,10.0,ANDENNE,1746,499,427,1746,934.49,0.10533159947984395,0.9560608134990993,99.0
ANDERLECHT,137,189.36,2.76,28,9.0,3.0,6.57,4.38,0.0,ANDERLECHT,1000,300,250,1000,378.72,0.07802340702210664,-0.009988272012638633,184.0
